Prefix,Question,Perturbed,Expected_answer,prediction1,prediction2,prediction3,Prediction,Is_Correct
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The internet speed is slow,The internet speed is contemptuously slow,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The noise level is too high,The calyptrate noise level is too high,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The quality of the product is poor,The coexisting quality of the product is poor,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The scenery here is beautiful,The scenery here is truly beautiful,Positive,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The noise level is tolerable,The noise level is generally tolerable,Neutral,Positive,Positive,Positive,Positive,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The traffic is light,The traffic is fairly light,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is average,The view from here is somewhat average,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This software is difficult to use,This software is incredibly difficult to use,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure what to think about this,I'm not sure what to really think about this,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The scenery here is average,The scenery here is rather average,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I have no strong feelings about this,I have no strong personal feelings about this,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The traffic is moderate,The traffic is relatively moderate,Neutral,Positive,Positive,Positive,Positive,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is stunning,The view from here is absolutely stunning,Positive,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This software is very complicated,This software is extremely complicated,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The car is not reliable,The car is not particularly reliable,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The scenery here is breathtaking,The scenery here is absolutely breathtaking,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not happy with this product,I'm not happy with this particular product,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The weather is nice today,The weather is quite nice today,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure if I want to pursue this,I'm not sure if I really want to pursue this,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This phone is just okay,This phone is just barely okay,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The traffic is heavy,The traffic is extremely heavy,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is unremarkable,The view from here is rather unremarkable,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I have no strong opinion on this,I have no strong personal opinion on this,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The car is expensive,The car is surprisingly expensive,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The scenery here is unimpressive,The scenery here is fairly unimpressive,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This company is awful,This company is absolutely awful,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm very unhappy with this product,I'm very deeply unhappy with this product,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The weather is awful today,The weather is truly awful today,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not interested in this topic,I'm not interested in this specific topic,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This is a useless product,This is a completely useless product,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The traffic is unbearable,The traffic is totally unbearable,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is unappealing,The view from here is quite unappealing,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The car is old and unreliable,The car is quite old and unreliable.,Negative,Negative,Negative,Negative,Negative,True
