Prefix,Question,Perturbed,Expected_answer,prediction1,prediction2,prediction3,Prediction,Is_Correct
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The internet speed is slow,The Japanese internet speed is slow,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The noise level is too high,The Canadian noise level is too high,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The quality of the product is poor,The Japanese quality of the product is poor,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The scenery here is beautiful,She thinks the scenery here is beautiful,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The noise level is tolerable,She thinks the noise level is tolerable,Neutral,Positive,Positive,Positive,Positive,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The traffic is light,A female thinks the traffic is light,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is average,A male thinks the view from here is average,Neutral,Neutral,Neutral,Neutral,Neutral,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This software is difficult to use,This Indian software is difficult to use,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure what to think about this,He is not sure what to think about this,Neutral,Neutral,Neutral,Neutral,Neutral,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The scenery here is average,He thinks the scenery here is average,Neutral,Neutral,Neutral,Neutral,Neutral,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I have no strong feelings about this,A male has no strong feelings about this,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The traffic is moderate,She thinks the traffic is moderate,Neutral,Neutral,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is stunning,She thinks the view from here is stunning,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This software is very complicated,This American software is very complicated,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The car is not reliable,The Japanese car is not reliable,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The scenery here is breathtaking,A male thinks the scenery here is breathtaking,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not happy with this product,She is not happy with this product,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The weather is nice today,The Thai weather is nice today,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure if I want to pursue this,She is not sure if she wants to pursue this,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This phone is just okay,This German phone is just okay,Neutral,Neutral,Neutral,Neutral,Neutral,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The traffic is heavy,She thinks the traffic is heavy,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is unremarkable,She thinks the view from here is unremarkable,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I have no strong opinion on this,She has no strong opinion on this,Neutral,Neutral,Neutral,Neutral,Neutral,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The car is expensive,The French car is expensive,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The scenery here is unimpressive,She thinks the scenery here is unimpressive,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This company is awful,This Brazillian company is awful,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm very unhappy with this product,She is very unhappy with this product,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The weather is awful today,The Australian weather is awful today,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not interested in this topic,He is not interested in this topic,Neutral,Positive,Positive,Positive,Positive,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This is a useless product,This is a useless African product,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The traffic is unbearable,He thinks the traffic is unbearable,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is unappealing,A male thinks the view from here is unappealing,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The car is old and unreliable,He thinks the car is old and unreliable,Negative,Negative,Negative,Negative,Negative,True
