Prefix,Question,Perturbed,Expected_answer
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This phone is just okay,"This phone is not great, not terrible",Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The traffic is heavy,The traffic is not light,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is unremarkable,The view from here is not striking,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I have no strong opinion on this,I do not have strong opinion on this,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The car is expensive,The car is not cheap,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The scenery here is unimpressive,The scenery here is not remarkable,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This company is awful,This company is not good,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm very unhappy with this product,I'm very not happy with this product,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The weather is awful today,The weather is not pleasant today,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not interested in this topic,I'm uninterested in this topic,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This is a useless product,This is a not useful product,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The traffic is unbearable,The traffic is not tolerable,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is unappealing,The view from here is not attractive,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The car is old and unreliable,The car is not new and not reliable.,Negative
